Name,Season,Team,G,CG,ShO,GS,W,L,SV,HLD,IP,R,ER,TBF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
밴헤켄,2017,넥,24,0,0,24,8,7,0,0,138.1,68,58,591,140,24.0,1.0,13,42,0,2,139,0,4,3.77,3.9,1.32,131.8,125.7,3.31,-0.42
브리검,2017,넥,24,0,0,24,10,6,0,0,144.0,77,70,619,166,21.0,4.0,17,26,0,13,98,0,8,4.38,4.72,1.33,113.7,103.6,2.77,0.48
다이아몬드,2017,S,24,1,1,24,10,7,0,0,134.1,69,66,581,163,20.0,3.0,11,35,1,9,59,0,2,4.42,4.88,1.47,113.8,103.2,2.64,0.48
오간도,2017,한,19,0,0,19,10,5,0,0,110.0,53,48,475,115,14.0,0.0,8,30,0,11,74,1,6,3.93,4.45,1.32,128.0,113.3,2.6,-0.61
맨쉽,2017,N,21,0,0,21,12,4,0,0,112.2,51,46,478,112,17.0,0.0,7,33,0,7,86,1,5,3.67,4.08,1.29,135.1,122.2,2.45,0.66
비야누에바,2017,한,20,0,0,20,5,7,0,0,112.0,58,52,461,108,23.0,1.0,12,23,0,5,68,0,5,4.18,4.66,1.17,120.3,108.3,2.41,-0.37
린드블럼,2017,롯,12,0,0,12,5,3,0,0,72.2,31,30,296,66,10.0,1.0,10,18,0,2,76,2,3,3.72,4.26,1.16,135.6,118.6,2.35,0.69
로치,2017,k,28,1,0,28,4,15,0,0,165.0,106,86,743,200,33.0,3.0,18,60,0,13,99,1,10,4.69,5.28,1.58,108.1,94.4,2.28,-2.37
보우덴,2017,두,17,0,0,17,3,5,0,0,87.1,47,45,389,90,14.0,1.0,15,38,0,6,51,1,6,4.64,6.31,1.47,103.8,75.7,1.17,-1.07
페트릭,2017,삼,25,0,0,24,3,10,0,0,134.0,95,92,619,174,35.0,7.0,18,52,1,6,87,0,8,6.18,5.46,1.69,82.1,92.3,0.32,-2.51
애디튼,2017,롯,15,0,0,13,2,7,0,0,70.0,54,46,324,85,18.0,2.0,7,25,0,5,60,0,5,5.91,4.61,1.57,85.2,109.1,-0.27,-1.14
오설리반,2017,넥,3,0,0,2,0,2,0,0,8.0,14,14,43,17,7.0,0.0,2,2,0,1,6,1,0,15.75,6.61,2.38,31.6,73.2,-0.57,-1.17
레나도,2017,삼,11,0,0,11,2,3,0,0,49.0,46,37,243,70,18.0,0.0,11,27,0,6,28,1,1,6.8,7.53,1.98,74.6,67.2,-0.78,-2.19
린드블럼,2018,두,26,0,0,26,15,4,0,0,168.2,56,54,681,142,33.0,2.0,16,38,0,8,157,0,10,2.88,4.02,1.07,175.4,125.2,6.83,2.06
윌슨,2018,L,26,1,1,26,9,4,0,0,170.0,63,58,689,158,23.0,3.0,11,35,1,6,149,1,10,3.07,3.63,1.14,164.3,139.4,6.33,2.72
브리검,2018,넥,31,2,1,30,11,7,0,1,199.0,89,85,829,188,28.0,3.0,19,50,0,19,175,0,4,3.84,4.36,1.2,134.1,117.4,5.8,0.2
소사,2018,L,27,1,1,27,9,9,0,0,181.1,83,71,760,192,44.0,1.0,16,28,1,4,181,0,6,3.52,3.5,1.21,143.2,143.3,4.97,0.16
니퍼트,2018,K,29,0,0,28,8,8,0,0,175.2,88,83,765,209,33.0,4.0,26,39,2,9,165,0,9,4.25,4.66,1.41,124.6,111.4,4.76,-0.06
후랭코프,2018,두,28,0,0,28,18,3,0,0,149.1,64,62,621,118,17.0,1.0,12,55,1,22,134,0,15,3.74,4.61,1.16,135.3,110.0,4.13,1.18
켈리,2018,S,28,0,0,28,12,7,0,0,158.1,78,72,674,152,28.0,3.0,18,47,1,13,161,2,5,4.09,4.4,1.26,128.5,120.4,3.9,-0.45
피어밴드,2018,K,27,1,0,26,8,8,0,0,163.1,90,78,707,186,27.0,1.0,24,38,0,6,141,0,5,4.3,4.83,1.37,123.3,107.7,3.79,-1.28
샘슨,2018,한,30,0,0,29,13,8,0,0,161.2,91,84,703,144,26.0,1.0,17,79,0,5,195,2,18,4.68,4.35,1.38,113.3,123.2,2.99,-0.7
헥터,2018,K,29,1,0,29,11,10,0,0,174.0,102,89,753,209,31.0,0.0,25,36,2,4,137,1,4,4.6,4.78,1.41,111.5,107.9,2.98,-1.24
레일리,2018,롯,30,0,0,30,11,13,0,0,178.1,106,94,775,180,34.0,4.0,24,54,1,18,178,2,4,4.74,4.78,1.31,109.9,109.3,2.97,-1.94
아델만,2018,삼,31,0,0,31,8,12,0,0,171.0,101,96,758,202,39.0,1.0,20,54,0,11,137,1,7,5.05,4.89,1.5,105.0,107.1,2.83,-1.15
듀브론트,2018,롯,25,0,0,25,6,9,0,0,137.1,82,75,629,162,29.0,2.0,13,62,1,8,109,3,10,4.92,4.98,1.63,106.1,104.8,2.34,-1.66
왕웨이중,2018,N,25,0,0,25,7,10,0,0,141.2,83,67,615,169,25.0,1.0,16,40,2,2,108,0,2,4.26,4.62,1.48,121.9,113.5,2.29,-0.52
베렛,2018,N,29,0,0,29,6,10,0,0,155.0,94,91,698,178,31.0,2.0,24,59,0,9,144,1,10,5.28,5.3,1.53,98.2,99.1,2.23,-2.29
로저스,2018,넥,13,1,0,13,5,4,0,0,83.0,40,35,345,89,7.0,4.0,7,16,0,5,65,0,8,3.8,4.12,1.27,135.8,124.2,1.97,0.07
산체스,2018,S,29,0,0,26,8,8,0,1,145.1,90,79,632,161,21.0,3.0,26,39,1,7,124,0,12,4.89,5.38,1.38,107.5,98.8,1.9,-1.34
보니야,2018,삼,29,0,0,29,7,10,0,0,168.0,111,99,752,193,40.0,2.0,23,63,1,12,151,1,9,5.3,5.14,1.52,100.0,102.2,1.79,-1.92
헤일,2018,한,12,0,0,12,3,4,0,0,66.1,35,32,277,68,10.0,0.0,8,17,0,4,55,0,3,4.34,4.69,1.28,122.0,113.6,1.49,-0.56
휠러,2018,한,19,0,0,19,3,9,0,0,101.2,62,58,459,128,16.0,0.0,12,34,1,10,94,1,2,5.13,4.79,1.59,103.2,111.5,1.44,-1.07
해커,2018,넥,14,0,0,13,5,3,0,0,79.2,49,46,349,86,16.0,0.0,16,30,0,5,56,1,2,5.2,6.36,1.46,99.2,80.0,0.94,-0.9
팻딘,2018,K,36,0,0,21,6,7,0,2,129.1,96,90,588,174,29.0,1.0,23,27,2,4,101,0,3,6.26,5.26,1.55,82.0,98.1,0.73,-2.78
린드블럼,2019,두,30,0,0,30,20,3,0,0,194.2,57,54,773,165,22.0,3.0,13,29,0,6,189,0,7,2.5,2.87,1.0,163.7,141.3,6.83,4.44
산체스,2019,S,28,0,0,28,17,5,0,0,165.0,51,48,671,151,18.0,2.0,2,42,0,2,148,2,11,2.62,2.57,1.17,162.0,163.9,5.91,3.64
루친스키,2019,N,30,2,0,30,9,9,0,0,177.1,68,60,731,164,20.0,1.0,13,45,0,11,119,0,7,3.05,3.96,1.18,139.2,106.7,4.7,2.51
채드벨,2019,한,29,0,0,29,11,10,0,0,177.1,73,69,749,169,33.0,2.0,14,63,0,10,134,1,8,3.5,4.15,1.31,118.3,100.4,4.45,1.53
요키시,2019,키,30,1,1,30,13,9,0,0,181.1,72,63,746,166,33.0,5.0,9,39,0,11,141,0,6,3.13,3.32,1.13,132.1,124.3,4.21,1.09
서폴드,2019,한,31,0,0,31,12,11,0,0,192.1,84,75,810,191,28.0,4.0,8,54,1,8,135,0,8,3.51,3.49,1.27,118.0,119.5,4.18,1.73
레일리,2019,롯,30,0,0,30,5,14,0,0,181.0,88,78,791,191,32.0,4.0,10,65,1,8,140,1,10,3.88,3.77,1.41,108.2,111.0,4.1,0.2
켈리,2019,L,29,0,0,29,14,12,0,0,180.1,70,51,747,164,33.0,3.0,7,41,0,16,126,0,12,2.55,3.46,1.14,160.6,118.6,3.97,2.39
브리검,2019,키,28,0,0,28,13,5,0,0,158.1,62,52,669,148,32.0,2.0,5,46,0,12,130,1,7,2.96,3.27,1.23,139.7,126.8,3.67,1.21
쿠에바스,2019,K,30,0,0,30,13,10,0,0,184.0,80,74,760,153,21.0,6.0,18,63,0,12,135,0,4,3.62,4.43,1.17,115.1,93.1,3.58,1.22
윌슨,2019,L,30,1,0,30,14,7,0,0,185.0,77,60,763,171,27.0,2.0,7,43,1,11,137,0,6,2.92,3.27,1.16,140.0,125.3,3.39,1.88
알칸타라,2019,K,27,1,0,27,11,11,0,0,172.2,80,77,724,189,39.0,3.0,15,27,0,8,100,2,2,4.01,3.98,1.25,103.8,103.7,2.74,0.88
후랭코프,2019,두,22,0,0,22,9,8,0,0,117.1,48,47,495,110,20.0,2.0,5,30,1,13,111,1,2,3.61,3.14,1.19,113.4,130.3,2.58,0.48
프리드릭,2019,N,12,2,1,12,7,4,0,0,72.0,22,22,294,63,6.0,0.0,4,22,1,3,56,0,2,2.75,3.57,1.18,154.1,118.3,2.4,0.79
다익손,2019,S,29,0,0,28,6,10,0,0,149.1,81,72,649,164,23.0,3.0,15,40,1,6,117,1,4,4.34,4.05,1.37,97.2,104.7,2.07,-0.58
소사,2019,S,16,0,0,16,9,3,0,0,94.1,42,40,387,85,6.0,0.0,15,23,0,2,96,1,3,3.82,4.23,1.15,111.2,102.8,1.92,1.38
윌랜드,2019,K,28,0,0,28,8,10,0,0,165.0,95,87,726,191,41.0,1.0,17,59,1,5,137,0,4,4.75,4.23,1.52,89.0,99.4,1.68,-0.78
라이블리,2019,삼,9,1,1,9,4,4,0,0,57.0,26,25,236,51,9.0,4.0,4,13,0,5,58,0,0,3.95,3.23,1.12,109.7,132.2,1.1,0.25
톰슨,2019,롯,11,1,1,11,2,3,0,0,62.2,35,33,267,54,8.0,1.0,4,23,0,5,60,0,8,4.74,3.66,1.23,88.5,114.2,0.83,-0.26
맥과이어,2019,삼,21,1,1,21,4,8,0,0,112.1,68,63,512,119,24.0,3.0,13,66,0,6,100,2,3,5.05,5.05,1.65,85.8,84.7,0.75,-0.37
버틀러,2019,N,13,0,0,13,3,6,0,0,73.2,46,39,326,78,18.0,1.0,6,28,1,2,49,0,4,4.76,4.31,1.44,88.9,98.0,0.07,-1.15
헤일리,2019,삼,19,0,0,19,5,8,0,0,87.2,59,56,386,95,12.0,2.0,5,34,0,6,84,1,5,5.75,3.6,1.47,75.3,118.1,0.0,-1.03
터너,2019,K,28,1,0,28,7,13,0,0,153.1,107,94,714,179,34.0,3.0,12,58,0,17,121,0,14,5.52,4.31,1.55,76.5,97.5,-0.46,-1.58
알칸타라,2020,두,31,1,0,31,20,2,0,0,198.2,58,56,795,174,38.0,3.0,12,30,0,9,182,1,3,2.54,3.1,1.03,182.8,149.8,8.33,4.35
스트레일리,2020,롯,31,0,0,31,15,4,0,0,194.2,61,54,777,148,27.0,2.0,10,51,0,7,205,0,4,2.5,3.01,1.02,194.9,159.0,7.53,3.84
브룩스,2020,K,23,1,1,23,11,4,0,0,151.1,43,42,586,131,18.0,0.0,4,24,0,3,130,1,3,2.5,2.72,1.02,192.0,177.6,7.16,3.39
루친스키,2020,N,30,0,0,30,19,5,0,0,183.0,67,62,770,173,12.0,3.0,14,57,0,11,167,0,11,3.05,3.84,1.26,159.9,125.9,5.59,3.04
요키시,2020,키,27,0,0,27,12,7,0,0,159.2,53,38,640,144,26.0,3.0,6,25,0,6,115,1,3,2.14,3.19,1.06,220.3,147.4,5.53,3.2
뷰캐넌,2020,삼,27,1,0,27,15,7,0,0,174.2,71,67,728,172,19.0,2.0,16,50,0,7,121,0,2,3.45,4.34,1.27,141.9,112.1,4.68,1.62
켈리,2020,L,28,1,1,28,15,7,0,0,173.1,67,64,705,160,29.0,1.0,16,40,0,11,134,0,4,3.32,4.09,1.15,139.4,112.8,4.27,1.64
플렉센,2020,두,21,0,0,21,8,4,0,0,116.2,43,39,472,97,14.0,0.0,6,30,2,2,132,0,5,3.01,2.73,1.09,154.1,169.9,3.51,1.01
데스파이네,2020,K,35,0,0,34,15,8,0,0,207.2,105,100,906,233,36.0,1.0,18,68,1,8,152,0,18,4.33,4.3,1.45,110.8,110.7,3.2,0.38
가뇽,2020,K,28,0,0,28,11,8,0,0,159.2,86,77,702,162,33.0,8.0,7,64,0,9,141,0,13,4.34,3.73,1.42,110.5,129.1,2.84,-0.55
라이블리,2020,삼,21,0,0,21,6,7,0,0,112.0,54,53,478,98,16.0,1.0,11,39,0,12,95,0,2,4.26,4.5,1.22,115.1,108.2,2.68,-0.19
쿠에바스,2020,K,27,0,0,27,10,8,0,0,158.0,80,72,668,152,26.0,1.0,16,46,0,9,110,0,4,4.1,4.52,1.25,117.0,105.1,2.63,-0.29
브리검,2020,키,21,0,0,21,9,5,0,0,107.0,45,43,456,98,7.0,2.0,6,42,1,5,105,0,8,3.62,3.61,1.31,130.5,129.2,2.4,1.08
라이트,2020,N,29,0,0,29,11,9,0,0,157.2,87,82,696,164,27.0,2.0,12,63,0,10,125,2,5,4.68,4.35,1.44,104.2,111.0,2.0,-1.57
서폴드,2020,한,28,1,1,28,10,13,0,0,165.0,107,90,734,203,30.0,3.0,19,42,0,13,97,0,10,4.91,4.88,1.49,96.3,98.2,1.3,-1.5
윌슨,2020,L,25,0,0,25,10,8,0,0,144.2,81,71,628,161,23.0,2.0,13,39,0,8,109,1,3,4.42,4.19,1.38,104.9,110.3,1.11,-0.67
샘슨,2020,롯,25,0,0,25,9,12,0,0,130.0,87,78,590,167,25.0,1.0,14,36,0,6,87,2,8,5.4,4.59,1.56,90.1,104.5,0.3,-1.07
채드벨,2020,한,16,0,0,16,2,8,0,0,77.0,54,51,346,85,11.0,0.0,10,35,1,5,61,0,3,5.96,5.18,1.56,79.3,92.5,0.16,-1.01
핀토,2020,S,30,0,0,30,6,15,0,0,162.0,121,111,766,198,35.0,1.0,19,90,3,11,112,2,11,6.17,5.51,1.78,78.4,88.3,-0.26,-2.27
킹엄,2020,S,2,0,0,2,0,2,0,0,10.2,11,8,52,16,4.0,0.0,1,4,0,0,6,0,1,6.75,4.77,1.88,71.6,101.6,-0.32,-0.55
미란다,2021,두,28,1,1,28,14,5,0,0,173.2,49,45,709,135,21.0,1.0,11,63,0,1,225,1,7,2.33,2.67,1.14,185.0,161.1,7.1,3.27
켈리,2021,L,30,0,0,30,13,8,0,0,177.0,64,62,744,160,25.0,0.0,12,60,3,11,142,1,7,3.15,3.76,1.24,136.8,115.1,4.97,1.61
요키시,2021,키,31,0,0,31,16,9,0,0,181.1,71,59,739,171,24.0,0.0,12,46,2,4,131,0,9,2.93,3.54,1.2,151.4,122.4,4.68,1.62
뷰캐넌,2021,삼,30,1,1,30,16,5,0,0,177.0,71,61,758,173,25.0,4.0,13,59,2,2,162,0,7,3.1,3.46,1.31,145.5,130.3,4.54,1.66
루친스키,2021,N,30,0,0,30,15,10,0,0,178.2,76,63,754,160,24.0,1.0,12,55,0,10,177,2,6,3.17,3.32,1.2,143.1,135.9,4.5,1.88
수아레즈,2021,L,23,0,0,22,10,2,0,0,115.1,33,28,473,91,16.0,2.0,4,41,0,4,126,0,2,2.18,2.77,1.15,197.4,157.7,4.44,2.6
로켓,2021,두,21,1,0,21,9,9,0,0,124.0,44,41,540,132,20.0,2.0,5,42,1,12,112,1,1,2.98,3.33,1.4,144.9,130.9,4.12,1.0
데스파이네,2021,K,33,0,0,33,13,10,0,0,188.2,81,71,819,175,30.0,3.0,10,78,0,7,165,0,15,3.39,3.62,1.34,132.6,122.7,4.0,0.79
파슨스,2021,N,24,1,0,24,4,8,0,0,133.0,56,55,577,109,16.0,2.0,9,63,0,11,148,1,10,3.72,3.66,1.29,122.0,123.3,3.73,0.5
킹엄,2021,한,25,0,0,25,10,8,0,0,144.0,58,51,591,117,22.0,0.0,11,41,1,5,131,2,4,3.19,3.44,1.1,137.4,129.2,3.72,1.6
멩덴,2021,K,21,0,0,21,8,3,0,0,120.0,53,48,502,109,18.0,2.0,12,35,0,8,104,3,2,3.6,3.97,1.2,123.5,111.9,3.1,0.51
스트레일리,2021,롯,31,0,0,31,10,12,0,0,165.2,85,75,714,162,25.0,2.0,12,66,0,8,164,1,8,4.07,3.63,1.38,111.5,122.8,3.02,0.14
폰트,2021,S,26,0,0,26,8,5,0,0,145.2,66,56,604,114,22.0,1.0,12,45,1,6,157,1,2,3.46,3.28,1.09,129.7,139.2,2.95,0.56
브룩스,2021,K,13,0,0,13,3,5,0,0,78.0,34,29,333,93,12.0,1.0,4,16,0,1,55,0,0,3.35,3.24,1.4,132.9,137.5,2.08,0.54
카펜터,2021,한,31,0,0,30,5,12,0,0,170.0,90,75,746,150,21.0,3.0,16,72,0,19,179,1,7,3.97,4.06,1.31,110.3,109.7,2.02,0.53
쿠에바스,2021,K,23,1,1,23,9,4,0,0,133.1,68,61,580,131,21.0,3.0,11,51,0,3,137,0,6,4.12,3.57,1.37,109.1,124.8,1.94,0.02
브리검,2021,키,10,0,0,10,7,3,0,0,61.0,25,20,250,49,8.0,0.0,6,26,0,4,49,0,3,2.95,4.48,1.23,150.2,96.4,1.44,0.3
프랑코,2021,롯,37,0,0,27,9,8,0,1,150.0,97,90,677,147,31.0,2.0,20,75,0,20,124,1,6,5.4,5.31,1.48,84.2,84.1,0.76,-1.27
라이블리,2021,삼,7,0,0,7,0,1,0,0,33.1,16,15,140,23,6.0,0.0,4,13,0,5,38,0,0,4.05,4.23,1.08,111.5,107.0,0.66,0.33
다카하시,2021,K,7,0,0,7,1,3,0,0,36.2,22,20,168,46,4.0,0.0,4,12,0,4,46,0,4,4.91,3.55,1.58,90.6,125.6,0.37,-0.32
르위키,2021,S,4,0,0,4,1,0,0,0,14.1,6,6,56,15,3.0,0.0,2,2,0,0,9,0,0,3.77,4.31,1.19,119.1,105.7,0.32,0.17
몽고메리,2021,삼,11,0,0,11,2,5,0,0,52.0,33,31,244,46,5.0,1.0,3,38,0,4,55,0,4,5.37,4.39,1.62,84.1,102.0,0.21,-0.71
가빌리오,2021,S,15,0,0,15,6,4,0,0,81.1,54,53,351,88,18.0,0.0,7,30,1,6,70,0,3,5.86,4.02,1.45,76.5,113.0,0.02,-0.68
스미스,2021,키,2,0,0,2,1,0,0,0,10.0,7,7,43,9,2.0,0.0,1,5,0,0,5,0,0,6.3,5.13,1.4,70.4,84.4,-0.08,-0.14
요키시,2022,키,30,0,0,30,10,8,0,0,185.1,61,53,746,169,31.0,3.0,8,33,0,5,154,0,2,2.57,2.85,1.09,155.4,138.8,5.7,3.57
수아레즈,2022,삼,30,0,0,29,6,8,0,0,173.2,61,48,714,151,19.0,0.0,7,50,0,4,159,0,6,2.49,2.96,1.16,167.8,138.0,5.3,2.7
켈리,2022,L,27,0,0,27,16,4,0,0,166.1,50,47,664,144,10.0,4.0,10,35,0,2,153,0,3,2.54,2.95,1.08,156.3,134.7,5.21,3.45
폰트,2022,S,28,1,0,28,13,6,0,0,184.0,63,55,729,141,22.0,3.0,18,34,1,6,170,0,5,2.69,3.4,0.95,154.7,124.1,5.21,2.91
플럿코,2022,L,28,0,0,28,15,5,0,0,162.0,53,43,644,125,18.0,2.0,13,38,2,2,149,0,6,2.39,3.25,1.01,166.4,121.6,4.81,2.44
루친스키,2022,N,31,0,0,31,10,12,0,0,193.2,77,64,797,184,34.0,2.0,14,34,1,8,194,0,9,2.97,2.91,1.13,136.9,140.9,4.4,2.8
뷰캐넌,2022,삼,26,1,1,26,11,8,0,0,160.0,61,54,691,176,28.0,2.0,10,39,0,8,117,0,2,3.04,3.57,1.34,137.4,115.2,3.82,1.83
놀린,2022,K,21,0,0,21,8,8,0,0,124.0,41,34,512,115,19.0,2.0,7,24,1,8,108,1,4,2.47,3.08,1.12,165.2,133.0,3.5,1.79
모리만도,2022,S,12,0,0,12,7,1,0,0,75.1,19,14,304,57,8.0,0.0,2,23,0,4,67,0,2,1.67,2.98,1.06,248.9,139.8,3.13,2.28
반즈,2022,롯,31,0,0,31,12,12,0,0,186.1,87,75,788,175,27.0,5.0,8,47,1,18,160,0,7,3.62,3.21,1.19,114.9,127.4,3.04,0.56
벤자민,2022,K,17,0,0,17,5,4,0,0,96.2,34,29,385,75,9.0,1.0,11,24,2,4,77,1,3,2.7,4.03,1.02,152.5,101.2,2.55,1.07
파노니,2022,K,14,0,0,14,3,4,0,0,82.2,32,24,348,78,6.0,1.0,5,24,0,2,73,0,5,2.61,3.3,1.23,156.0,124.2,1.92,0.58
스트레일리,2022,롯,11,0,0,11,4,2,0,0,62.1,24,16,260,54,8.0,0.0,5,22,0,6,55,0,2,2.31,3.96,1.22,180.2,102.8,1.82,0.64
애플러,2022,키,33,1,1,25,6,8,0,0,140.1,69,67,622,172,34.0,1.0,13,40,1,6,86,0,4,4.3,4.28,1.51,93.1,92.3,1.35,-0.24
브랜든,2022,두,11,0,0,11,5,3,0,0,65.0,29,26,276,56,10.0,0.0,5,24,0,1,40,1,2,3.6,4.26,1.23,110.5,93.5,1.08,0.65
파슨스,2022,N,8,0,0,8,1,2,0,0,43.0,19,17,182,34,4.0,2.0,4,21,0,1,43,0,8,3.56,4.08,1.28,114.5,100.7,1.05,0.12
라미레즈,2022,한,13,0,0,13,2,6,0,0,65.1,33,30,285,52,6.0,0.0,4,37,0,7,47,1,0,4.13,4.72,1.36,98.0,86.4,1.03,0.13
스탁,2022,두,29,0,0,29,9,10,0,0,165.0,87,65,722,161,24.0,2.0,9,83,0,10,138,0,12,3.55,4.07,1.48,112.2,98.7,1.02,-0.98
데스파이네,2022,K,30,0,0,29,8,12,0,0,163.0,94,82,725,198,27.0,0.0,14,48,2,9,123,1,7,4.53,3.96,1.51,90.9,102.9,1.01,-1.34
카펜터,2022,한,4,0,0,4,0,1,0,0,18.0,6,5,79,19,5.0,0.0,1,6,0,1,15,0,1,2.5,3.56,1.39,161.9,114.4,0.64,0.2
킹엄,2022,한,3,0,0,3,1,2,0,0,16.1,6,5,70,15,2.0,1.0,1,5,0,1,18,0,0,2.76,3.03,1.22,146.9,134.2,0.42,0.18
쿠에바스,2022,K,2,0,0,2,1,0,0,0,11.0,3,3,40,2,0.0,0.0,1,5,0,1,8,0,2,2.45,4.7,0.64,167.8,86.5,0.33,0.23
미란다,2022,두,3,0,0,3,0,0,0,0,7.2,7,7,43,2,2.0,0.0,0,18,0,1,8,0,1,8.22,8.69,2.61,48.4,47.2,-0.21,-0.28
스파크맨,2022,롯,19,0,0,19,2,4,0,0,84.2,55,50,386,97,14.0,1.0,6,43,1,4,89,0,5,5.31,3.79,1.65,78.3,107.8,-0.23,-0.88
로니,2022,K,10,0,0,9,3,3,0,0,44.1,36,29,208,47,7.0,1.0,7,28,0,3,32,1,2,5.89,6.05,1.69,69.2,67.9,-0.78,-1.18
노바,2022,S,12,0,0,12,3,4,0,0,63.2,50,46,291,78,10.0,2.0,5,25,0,5,32,1,9,6.5,4.77,1.62,64.0,87.3,-0.84,-0.8
