Name,Season,Team,G,CG,ShO,GS,W,L,SV,HLD,IP,R,ER,TBF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
세든,2013,S,30,1,0,30,14,6,0,0,187.1,65,62,780,169,,,14,73,0,11,160,1,16,2.98,3.96,1.29,145.7,109.7,5.28,
옥스프링,2013,롯,30,1,1,30,13,7,0,0,183.1,79,67,774,164,,,10,69,0,11,144,0,2,3.29,3.8,1.27,132.9,115.1,4.58,
유먼,2013,롯,31,0,0,31,13,4,0,0,193.1,81,76,829,186,,,19,78,0,5,141,0,3,3.54,4.46,1.37,123.5,98.1,4.14,
해커,2013,N,27,3,0,26,4,11,0,0,178.1,83,72,744,163,,,12,50,0,17,127,0,5,3.63,3.93,1.19,118.2,109.4,3.83,
밴헤켄,2013,넥,29,0,0,29,12,10,0,0,161.2,78,67,705,178,,,11,58,0,10,137,1,11,3.73,3.8,1.46,116.8,114.6,3.57,
밴덴헐크,2013,삼,24,0,0,24,7,9,0,0,143.2,67,63,612,127,,,11,48,0,11,137,0,3,3.95,3.67,1.22,108.5,116.8,3.3,
니퍼트,2013,두,19,1,0,19,12,4,0,0,118.0,52,47,482,108,,,7,34,0,4,104,0,3,3.58,3.32,1.2,118.6,128.0,3.1,
바티스타,2013,한,29,0,0,24,7,7,0,0,143.2,77,67,640,141,,,9,70,0,13,150,1,8,4.2,3.81,1.47,103.4,114.0,2.75,
나이트,2013,넥,30,0,0,30,12,10,0,0,172.2,96,85,769,192,,,10,79,0,14,129,0,2,4.43,4.22,1.57,98.3,103.2,2.73,
이브랜드,2013,한,32,2,0,30,6,14,0,0,172.1,110,106,758,190,,,7,65,0,10,129,0,11,5.54,3.69,1.48,78.4,117.8,2.53,
레이예스,2013,S,30,2,1,29,8,13,0,0,173.0,99,93,751,157,,,15,91,0,7,135,0,11,4.84,4.62,1.43,89.7,94.0,2.16,
소사,2013,K,29,0,0,28,9,9,0,1,164.2,111,100,748,196,,,11,68,0,9,143,1,10,5.47,3.88,1.6,78.5,110.5,1.87,
아담,2013,N,17,0,0,16,4,8,0,0,91.2,48,42,383,93,,,12,27,0,1,70,2,4,4.12,4.44,1.31,104.2,96.8,1.41,
